StoreId,ProductSku,ProductName,ProductDescription,Pricing,DateTimestamp
AR_Misiones_Decathalon,BW_PUM_CHI_GOL_37_665,Puma_Chinos,Puma Chinos: Elevate your style with our fashionable chinos.,425.23,10/01/2023 04:06:31
AR_Misiones_Decathalon,BW_ADI_JEA_GRE_35_121,Adidas_Jeans,Adidas Jeans: Our signature jeans for a stylish look.,18.38,07/03/2023 22:33:50
AR_Misiones_Decathalon,BW_NIK_JEA_VIO_32_224,Nike_Jeans,Nike Jeans: Classic and comfortable for everyday wear.,345.38,05/27/2023 13:50:10
AR_Misiones_Decathalon,FW_NIK_BOO_PIN_11_705,Nike_Boot,Nike Boot: All-weather boots crafted for durability and comfort.,328.13,08/02/2023 21:10:15
AR_Misiones_Decathalon,BW_PUM_CHI_OLI_28_237,Puma_Chinos,Puma Chinos: Elevate your style with our fashionable chinos.,206.13,12/14/2022 20:01:47
AR_Misiones_Decathalon,TW_ADI_TAN_SKY_37_539,Adidas_Tank Top,Adidas Tank Top: Show off those muscles with our trendy tank tops.,295.80,11/26/2022 12:59:30
AR_Misiones_Decathalon,TW_PUM_T-S_SKY_37_696,Puma_T-Shirt,"Puma T-Shirt: Versatile and stylish, perfect for any occasion.",361.14,03/03/2023 05:51:48
AR_Misiones_Decathalon,FW_REE_SAN_WHI_05_194,Reebok_Sandals,Reebok Sandals: Perfect for a day at the beach or a casual stroll.,967.62,12/24/2022 15:37:13
AR_Misiones_Decathalon,BW_ADI_JEA_GRE_36_611,Adidas_Jeans,Adidas Jeans: Our signature jeans for a stylish look.,598.55,03/06/2023 10:19:21
AR_Misiones_Decathalon,TW_NIK_T-S_LIM_38_330,Nike_T-Shirt,Nike T-Shirt: Our signature T-shirt for a casual look.,105.21,03/05/2023 20:06:28
AR_Misiones_Decathalon,TW_ADI_HOO_ORA_37_924,Adidas_Hoodie,Adidas Hoodie: Cozy up with our comfortable and stylish hoodies.,428.92,08/27/2023 15:24:29
AR_Misiones_Decathalon,FW_ADI_HIG_MIN_09_219,Adidas_High Heels,Adidas High Heels: Elegant high heels to make a statement.,949.67,01/11/2023 10:58:50
AR_Misiones_Decathalon,BW_PUM_JOG_AZU_35_379,Puma_Joggers,Puma Joggers: Cozy up with our comfortable and stylish joggers.,489.90,03/30/2023 07:16:58
AR_Misiones_Decathalon,TW_NIK_POL_PIN_39_223,Nike_Polo,Nike Polo: Perfect blend of comfort and sophistication.,630.51,08/23/2023 15:02:41
AR_Misiones_Decathalon,BW_PUM_CHI_GOL_30_822,Puma_Chinos,Puma Chinos: Stay classy and comfortable with our chinos.,831.42,12/06/2022 06:50:26
AR_Misiones_Decathalon,FW_PUM_BOO_SAL_06_576,Puma_Boot,Puma Boot: Durable and ready for any adventure.,69.93,03/01/2023 08:46:08
AR_Misiones_Decathalon,TW_REE_HOO_MAG_44_507,Reebok_Hoodie,Reebok Hoodie: Stay on-trend with our fashionable hoodie collection.,941.17,11/01/2023 13:43:15
AR_Misiones_Decathalon,BW_PUM_CHI_MIN_29_084,Puma_Chinos,Puma Chinos: Casual and cool for those laid-back days.,312.33,03/16/2023 08:17:18
AR_Misiones_Decathalon,TW_GUC_T-S_TAN_39_488,Gucci_T-Shirt,Gucci T-Shirt: Classic and comfortable for everyday wear.,424.62,09/02/2023 23:58:26
AR_Misiones_Decathalon,FW_NIK_HIG_SKY_09_836,Nike_High Heels,Nike High Heels: Elegant high heels to make a statement.,626.01,10/16/2023 06:38:55
AR_Misiones_Decathalon,FW_NIK_HIG_AZU_10_629,Nike_High Heels,Nike High Heels: Dress up your outfit with our stylish high heels.,640.81,06/28/2023 04:57:52
AR_Misiones_Decathalon,FW_REE_SAN_BLA_11_407,Reebok_Sandals,Reebok Sandals: Adjustable straps for a personalized fit.,867.99,06/09/2023 09:54:36
AR_Misiones_Decathalon,FW_PUM_BOO_GRE_07_839,Puma_Boot,Puma Boot: Step out in style with our fashionable boots.,493.39,02/11/2023 16:11:18
AR_Misiones_Decathalon,BW_REE_JEA_YEL_31_122,Reebok_Jeans,Reebok Jeans: Our signature jeans for a stylish look.,505.90,05/21/2023 06:13:00
AR_Misiones_Decathalon,FW_ADI_LOA_WHI_06_175,Adidas_Loafer,Adidas Loafer: Step into sophistication with our loafers.,208.81,04/08/2023 15:38:21
AR_Misiones_Decathalon,TW_REE_HOO_OLI_40_921,Reebok_Hoodie,Reebok Hoodie: Stay on-trend with our fashionable hoodie collection.,260.46,01/21/2023 15:37:36
AR_Misiones_Decathalon,BW_REE_SHO_PUR_33_747,Reebok_Shorts,Reebok Shorts: Cool and comfortable shorts for a relaxed style.,169.27,02/06/2023 02:36:27
AR_Misiones_Decathalon,FW_GUC_SNE_TAN_08_509,Gucci_Sneaker,Gucci Sneaker: Elevate your performance with our latest technology.,743.16,01/10/2023 05:44:30
