StoreId,ProductSku,ProductName,ProductDescription,Pricing,DateTimestamp
BM_BM_Decathalon,TW_REE_TAN_GRE_43_476,Reebok_Tank Top,Reebok Tank Top: Show off those muscles with our trendy tank tops.,729.10,07/28/2023 08:42:10
BM_BM_Decathalon,TW_ADI_HOO_MAG_40_425,Adidas_Hoodie,"Adidas Hoodie: Casual and warm, the perfect combination for fall.",40.27,07/26/2023 14:43:24
BM_BM_Decathalon,BW_PUM_JEA_GRE_41_736,Puma_Jeans,"Puma Jeans: Versatile and trendy, perfect for any occasion.",617.16,04/04/2023 18:05:04
BM_BM_Decathalon,BW_NIK_JOG_IVO_40_874,Nike_Joggers,Nike Joggers: Casual and perfect for your active lifestyle.,961.98,04/04/2023 01:32:26
BM_BM_Decathalon,TW_NIK_LON_IND_39_006,Nike_Long Sleeve,Nike Long Sleeve: Stay warm and trendy with our long sleeve shirts.,507.54,01/22/2023 19:08:59
BM_BM_Decathalon,BW_NIK_CHI_CYA_44_435,Nike_Chinos,Nike Chinos: Casual and cool for those laid-back days.,325.25,01/30/2023 23:30:15
BM_BM_Decathalon,BW_GUC_JOG_LIM_39_732,Gucci_Joggers,Gucci Joggers: Casual and perfect for your active lifestyle.,257.79,12/20/2022 15:28:27
BM_BM_Decathalon,FW_PUM_SNE_IVO_13_853,Puma_Sneaker,Puma Sneaker: Comfort and style combined for your active lifestyle.,452.18,04/10/2023 14:31:35
BM_BM_Decathalon,TW_REE_T-S_OLI_42_683,Reebok_T-Shirt,Reebok T-Shirt: Our signature T-shirt for a casual look.,262.83,11/05/2023 18:37:37
BM_BM_Decathalon,FW_ADI_HIG_OLI_05_305,Adidas_High Heels,Adidas High Heels: Sleek and modern design for a chic appearance.,342.03,05/24/2023 21:31:51
BM_BM_Decathalon,TW_REE_POL_PIN_37_107,Reebok_Polo,Reebok Polo: Our polo shirts redefine casual elegance.,244.12,07/01/2023 19:49:33
BM_BM_Decathalon,FW_PUM_SNE_SIL_10_680,Puma_Sneaker,Puma Sneaker: Elevate your performance with our latest technology.,57.87,05/05/2023 02:27:10
BM_BM_Decathalon,BW_REE_CHI_GOL_34_194,Reebok_Chinos,Reebok Chinos: Elevate your style with our fashionable chinos.,544.04,11/22/2022 22:37:55
BM_BM_Decathalon,BW_ADI_JOG_LAV_38_964,Adidas_Joggers,Adidas Joggers: Casual and perfect for your active lifestyle.,164.98,10/21/2023 00:10:20
BM_BM_Decathalon,BW_GUC_CHI_AZU_43_566,Gucci_Chinos,Gucci Chinos: Stay classy and comfortable with our chinos.,821.79,04/04/2023 22:08:10
BM_BM_Decathalon,TW_NIK_T-S_MAR_40_412,Nike_T-Shirt,"Nike T-Shirt: Versatile and stylish, perfect for any occasion.",588.15,08/22/2023 07:54:53
BM_BM_Decathalon,FW_GUC_SNE_YEL_13_577,Gucci_Sneaker,Gucci Sneaker: Innovative design for the modern athlete.,865.65,11/29/2022 01:38:58
BM_BM_Decathalon,BW_GUC_SHO_VIO_38_509,Gucci_Shorts,Gucci Shorts: Stay on-trend with our fashionable shorts collection.,164.94,08/23/2023 09:56:40
BM_BM_Decathalon,TW_PUM_TAN_MAR_39_722,Puma_Tank Top,Puma Tank Top: Ideal for warm weather and active lifestyles.,22.50,06/01/2023 14:52:17
BM_BM_Decathalon,TW_ADI_POL_PUR_37_776,Adidas_Polo,Adidas Polo: Timeless polo design for a sporty yet refined look.,212.49,03/01/2023 14:52:57
BM_BM_Decathalon,FW_NIK_SAN_ORC_11_660,Nike_Sandals,Nike Sandals: Relax in our comfortable sandals.,420.69,07/19/2023 19:33:36
BM_BM_Decathalon,FW_NIK_SAN_SKY_05_652,Nike_Sandals,Nike Sandals: Perfect for a day at the beach or a casual stroll.,418.84,03/19/2023 20:05:34
BM_BM_Decathalon,BW_ADI_JEA_MAR_36_739,Adidas_Jeans,Adidas Jeans: Our signature jeans for a stylish look.,224.23,06/09/2023 12:44:51
